question_id	answer_id	user_id	post_type
55138926		7922340	question
55138926	55264496	11232916	answer
58530328		4163977	question
58516465		5047338	question
58516465	58517421	5136550	answer
58516408		5904928	question
58389268		11701537	question
58389268	58389380	3994824	answer
58362763		10243423	question
58362763	58363469	3416340	answer
49124814		8186293	question
49124814	49126505	5974433	answer
58228840		847200	question
58228840	58321163	12192957	answer
58289790		10407138	question
58289790	58291174	5136550	answer
58278338		12166702	question
58276337		2066786	question
58276337	58277760	10133797	answer
58220747		1745048	question
58220747	58222947	5136550	answer
58119629		11551046	question
58119629	58120077	2846923	answer
57694137		8214268	question
57642009		2146141	question
57509873		7204850	question
57442424		347484	question
56382500		373655	question
56382500	56382882	2154440	answer
56382500	56461830	1735003	answer
56382500	56485026	423926	answer
56862518		6107346	question
56695299		11628272	question
56695299	56774189	11628272	answer
56770549		6456798	question
56770549	56772112	3399825	answer
56750620		6456798	question
56750620	56752804	5298937	answer
56659428		11210924	question
56659428	56659558	11143609	answer
56564555		5248987	question
56564555	56564792	7408462	answer
56563985		7470810	question
56432802		11192771	question
56414605		5438313	question
56414605	56416556	9477338	answer
56414605	56425146	5597718	answer
56382596		8976407	question
56382596	56382765	9794742	answer
56382596	56382818	349130	answer
56313380		4142753	question
56313380	56314357	2099607	answer
55772535		812161	question
55742849		11378020	question
55600057		11336168	question
51469446		9177422	question
51469446	51474879	10014769	answer
51469446	55233535	4126114	answer
51469446	55293396	11152011	answer
55147276		11164691	question
55147276	55150032	2444909	answer
55147276	55151189	423926	answer
55045523		10022290	question
55045523	55046229	2099607	answer
55031383		4599450	question
55031383	55031640	10921263	answer
52960555		10547105	question
52960555	52965161	10025506	answer
52960555	54811584	5208239	answer
54765818		9222818	question
54765818	54765909	415016	answer
54765818	54765949	7904315	answer
54522336		8575076	question
54522336	54522432	2097240	answer
54553561		7531575	question
54553561	54553704	7067304	answer
54472295		10789317	question
54472295	54472349	8112138	answer
51566573		3236691	question
51566573	51578271	5495381	answer
54000409		4111676	question
53990774		10783111	question
53990774	53990953	2099607	answer
51252555		1093708	question
51252555	51252809	2099607	answer
51252555	53749704	5884955	answer
53530554		3492226	question
53530554	53561146	6431410	answer
53471698		10599426	question
53396147		4803860	question
53396147	53457574	8382707	answer
53363060		8513493	question
53363060	53365738	5495304	answer
53316561		6763456	question
53316561	53317569	2099607	answer
53311885		10245126	question
53311885	53311897	10655346	answer
53311885	53313039	2099607	answer
48158547		4288666	question
48158547	48314642	4288666	answer
48158547	50048551	1236689	answer
53096870		10589692	question
53096870	53152363	10589692	answer
53084604		6286493	question
53084604	53084852	3114765	answer
53065077		1298461	question
53065077	53070658	2099607	answer
52907059		10533365	question
52907059	52907572	2099607	answer
52880384		3276237	question
52880384	52882417	2099607	answer
52317452		7781194	question
52317452	52318369	2099607	answer
52323297		4293998	question
52323297	52323654	4293998	answer
52235235		8061600	question
52235235	52236794	2099607	answer
41064802		2439854	question
41064802	41077437	2439854	answer
52084911		706677	question
52084911	52123745	992489	answer
52065812		7398902	question
52048171		8100895	question
52048171	52057662	9393102	answer
51739016		1118109	question
51739016	51740625	2099607	answer
51441690		10032996	question
51441690	51442427	2097240	answer
51441690	51443340	10062180	answer
51365661		8798570	question
51365661	51366274	2097240	answer
51342528		2809263	question
51342528	51343505	7423389	answer
51308325		10071228	question
51292212		9328846	question
51292212	51297494	9328846	answer
51277247		user5339769	question
51277247	51278143	871910	answer
51148876		10020966	question
51015259		811344	question
51015259	51015462	4790871	answer
50393828		3844480	question
50393828	50805539	3844480	answer
50682119		3011570	question
50682119	50683342	9758922	answer
50682119	50686899	9298528	answer
50685576		2421298	question
50518563		3971528	question
50414117		4704873	question
50414117	50417224	349130	answer
50083767		6395388	question
50083767	50105609	6395388	answer
49690256		3478580	question
49690256	49690422	3697191	answer
49690256	49690528	8563649	answer
49690256	49690747	user9606893	answer
49721691		9333818	question
49721691	49856098	1187956	answer
49402739		9212155	question
49402739	49403464	1508542	answer
49402739	49832037	7655725	answer
49624167		9589617	question
49624167	49630749	5499527	answer
49549364		9556077	question
49011306		9418382	question
49011306	49011474	8756315	answer
49011306	49011626	567620	answer
48835999		2237916	question
48835999	48836405	5974433	answer
48835999	48872519	712995	answer
48827687		4697075	question
48827687	48839471	2060205	answer
48155026		8505488	question
48155026	48204889	712995	answer
47925346		3765706	question
47925346	47948715	8581827	answer
45138064		1798137	question
45138064	45150279	5974433	answer
45076758		8300957	question
44593556		5302826	question
44593556	45019836	8249869	answer
43479957		4938505	question
43479957	43480212	5974433	answer
52867069		9633432	question
52867069	54507633	9461915	answer
48431282		4509378	question
48431282	48432269	5974433	answer
48431282	48437314	7443104	answer
57987766		11170350	question
57987766	57988017	5661194	answer
57862459		8843300	question
57862459	57972395	10273558	answer
57961215		11124740	question
57909596		10584990	question
