	V1	V2
1	4505601	2099607
2	10551333	2099607
3	7241796	8112138
4	7626839	7621113
5	7626839	5495381
6	8601704	11273110
7	8601704	7896849
8	10436726	2099607
9	11387015	8563649
10	8855704	349130
11	7487684	7712022
12	7487684	349130
13	9175281	9758922
14	10879227	2099607
15	5366046	2099607
16	10748217	3073930
17	10748217	2099607
18	7717192	2099607
19	7717192	11381650
20	7717192	4578111
21	7717192	11607309
22	7717192	10886420
23	10994003	2099607
24	8798570	2097240
25	8798570	2099607
26	8798570	9686324
27	8798570	8794168
28	2777474	5974433
29	2777474	6599314
30	9134476	9758922
31	9134476	8609330
32	860566	7137636
33	860566	5974433
34	541106	7137636
35	541106	3994824
36	4547005	5055862
37	4547005	6145828
38	4547005	2099607
39	4547005	5707705
40	10789317	8112138
41	9585135	5495381
42	9585135	5741205
43	9675256	1626564
44	7258619	7383560
45	7258619	user9477964
46	9658877	1626564
47	9658877	10671392
48	590335	8046030
49	590335	5974433
50	590335	4549682
51	590335	4356204
52	7201349	4137497
53	7201349	8563649
54	7201349	6779007
55	user10638958	4311535
56	user10638958	5944114
57	user10638958	user9477964
58	user10638958	6150310
59	8061600	2099607
60	6562470	9703830
61	9495274	7699859
62	9749306	2099607
63	9749306	11692518
64	9749306	9179860
65	9749306	9919799
66	3236691	5495381
67	7660421	2099607
68	2311063	8793975
69	2311063	9305450
70	5292951	9179860
71	8332212	9758922
72	1958843	2099607
73	6382526	2099607
74	1319915	5974433
75	8766532	9758922
76	1115237	540873
77	1115237	2099607
78	1115237	890242
79	1115237	2266772
80	1115237	907575
81	1115237	6347629
82	4146344	2097240
83	2221270	5974433
84	2221270	3371265
85	2221270	562769
86	2221270	448357
87	6407393	2099607
88	7505228	8563649
89	4343153	5974433
90	4343153	10974829
91	2114952	2099607
92	2114952	3522130
93	5825953	4722692
94	10413480	349130
95	10724777	2097240
96	10757549	2099607
97	10757549	user9477964
98	10003894	5120376
99	10003894	2099607
100	9946584	9758922
101	9946584	9305450
102	2237916	712995
103	2237916	5974433
104	6456798	3399825
105	6456798	5298937
106	11683437	5668710
107	11486833	349130
108	9717380	4466962
109	11667181	5668710
110	10110703	349130
111	10110703	7042560
112	11773701	1626564
113	6145828	2099607
114	10782523	2097240
115	100208	712995
116	1116068	2097240
117	1116068	8609330
118	9922482	2099607
119	8513493	5495304
120	6187009	2099607
121	6187009	4468490
122	7153699	8143158
123	7153699	349130
124	7153699	5324310
125	7858253	349130
126	4933735	2099607
127	8857724	2097240
128	8505488	712995
129	10840273	349130
130	user10822357	5825953
131	8735043	2097240
132	11217227	10886420
133	9177422	11152011
134	9177422	10014769
135	9177422	4126114
136	2607447	8112138
137	2607447	5884955
138	2607447	5452132
139	2607447	8180401
140	2607447	5502111
141	2607447	529630
142	2607447	6757884
143	2607447	2334551
144	9251200	9890698
145	9251200	5495381
146	10783111	2099607
147	8186293	5974433
148	9718199	349130
149	8145356	5974433
150	305665	349130
151	10865204	2099607
152	10865204	5495304
153	10267239	10578525
154	10267239	7121726
155	10267239	1519264
156	10267239	5668710
157	4704873	349130
158	2959990	5884955
159	2959990	4995844
160	6498972	2099607
161	7326400	2099607
162	8915760	8563649
163	6458245	349130
164	6458245	11588671
165	6458245	3250829
166	11766668	5298937
167	11766668	5668710
168	4729764	2099607
169	4729764	7454706
170	4697075	712995
171	4697075	5801215
172	4697075	2060205
173	5360713	1360267
174	5360713	9412325
175	3755087	2099607
176	6835329	9703830
177	6835329	4685471
178	6286493	3114765
179	11971761	1673784
180	11971761	349130
181	10300594	2097240
182	7785666	9412325
183	3624195	2097240
184	7867665	8563649
185	7867665	349130
186	11701537	3994824
187	1928515	7137636
188	9768291	173773
189	9768291	349130
190	9768291	5716062
191	10693988	2099607
192	11013499	2099607
193	3001736	2099607
194	10022290	2099607
195	5049813	2099607
196	7245353	7996768
197	7245353	8563649
198	7245353	349130
199	7245353	7896849
200	9875012	2097240
201	5025377	5495381
202	1773216	2099607
203	4509378	5974433
204	4509378	5763590
205	4509378	7443104
206	4509378	3584765
207	3272409	2099607
208	1150683	10886420
209	7311070	2099607
210	1830648	349130
211	9785107	1626564
212	10014485	2097240
213	10014485	622104
214	6229792	9758922
215	8138533	2097240
216	8138533	1713850
217	10121004	2099607
218	12152654	5763590
219	626537	1749629
220	626537	349130
221	5451631	349130
222	1118109	2099607
223	6696880	5974433
224	3747765	8112138
225	3747765	9412325
226	1798137	5974433
227	4419588	5825953
228	1298461	2099607
229	11464742	349130
230	3977276	5974433
231	4419659	2097240
232	1093708	2099607
233	1093708	5884955
234	8163412	2097240
235	8163412	997378
236	8163412	5210098
