from	to	weight	type
7922340	11232916	1	askerAnswerer
5047338	5136550	1	askerAnswerer
11701537	3994824	1	askerAnswerer
10243423	3416340	1	askerAnswerer
8186293	5974433	1	askerAnswerer
847200	12192957	1	askerAnswerer
10407138	5136550	1	askerAnswerer
2066786	10133797	1	askerAnswerer
1745048	5136550	1	askerAnswerer
11551046	2846923	1	askerAnswerer
373655	2154440	1	askerAnswerer
373655	1735003	1	askerAnswerer
373655	423926	1	askerAnswerer
11628272	11628272	1	askerAnswerer
6456798	3399825	1	askerAnswerer
6456798	5298937	1	askerAnswerer
11210924	11143609	1	askerAnswerer
5248987	7408462	1	askerAnswerer
5438313	9477338	1	askerAnswerer
5438313	5597718	1	askerAnswerer
8976407	9794742	1	askerAnswerer
8976407	349130	1	askerAnswerer
4142753	2099607	1	askerAnswerer
9177422	10014769	1	askerAnswerer
9177422	4126114	1	askerAnswerer
9177422	11152011	1	askerAnswerer
11164691	2444909	1	askerAnswerer
11164691	423926	1	askerAnswerer
10022290	2099607	1	askerAnswerer
4599450	10921263	1	askerAnswerer
10547105	10025506	1	askerAnswerer
10547105	5208239	1	askerAnswerer
9222818	415016	1	askerAnswerer
9222818	7904315	1	askerAnswerer
8575076	2097240	1	askerAnswerer
7531575	7067304	1	askerAnswerer
10789317	8112138	1	askerAnswerer
3236691	5495381	1	askerAnswerer
10783111	2099607	1	askerAnswerer
1093708	2099607	1	askerAnswerer
1093708	5884955	1	askerAnswerer
3492226	6431410	1	askerAnswerer
4803860	8382707	1	askerAnswerer
8513493	5495304	1	askerAnswerer
6763456	2099607	1	askerAnswerer
10245126	10655346	1	askerAnswerer
10245126	2099607	1	askerAnswerer
4288666	4288666	1	askerAnswerer
4288666	1236689	1	askerAnswerer
10589692	10589692	1	askerAnswerer
6286493	3114765	1	askerAnswerer
1298461	2099607	1	askerAnswerer
10533365	2099607	1	askerAnswerer
3276237	2099607	1	askerAnswerer
7781194	2099607	1	askerAnswerer
4293998	4293998	1	askerAnswerer
8061600	2099607	1	askerAnswerer
2439854	2439854	1	askerAnswerer
706677	992489	1	askerAnswerer
8100895	9393102	1	askerAnswerer
1118109	2099607	1	askerAnswerer
10032996	2097240	1	askerAnswerer
10032996	10062180	1	askerAnswerer
8798570	2097240	1	askerAnswerer
2809263	7423389	1	askerAnswerer
9328846	9328846	1	askerAnswerer
user5339769	871910	1	askerAnswerer
811344	4790871	1	askerAnswerer
3844480	3844480	1	askerAnswerer
3011570	9758922	1	askerAnswerer
3011570	9298528	1	askerAnswerer
4704873	349130	1	askerAnswerer
6395388	6395388	1	askerAnswerer
3478580	3697191	1	askerAnswerer
3478580	8563649	1	askerAnswerer
3478580	user9606893	1	askerAnswerer
9333818	1187956	1	askerAnswerer
9212155	1508542	1	askerAnswerer
9212155	7655725	1	askerAnswerer
9589617	5499527	1	askerAnswerer
9418382	8756315	1	askerAnswerer
9418382	567620	1	askerAnswerer
2237916	5974433	1	askerAnswerer
2237916	712995	1	askerAnswerer
4697075	2060205	1	askerAnswerer
8505488	712995	1	askerAnswerer
3765706	8581827	1	askerAnswerer
